Date,Type,Count
5/3/2017,TASK,2
5/3/2017,NOTE,1
5/4/2017,EMAIL,7
5/5/2017,EMAIL,4
5/8/2017,CALL,36
5/8/2017,NOTE,4
5/9/2017,CALL,9
5/9/2017,NOTE,3
5/10/2017,PUBLISHING_TASK,1
5/10/2017,CALL,1
5/11/2017,CALL,1
5/12/2017,PUBLISHING_TASK,1
5/14/2017,CALL,10
5/15/2017,PUBLISHING_TASK,1
5/15/2017,CALL,2
5/16/2017,MEETING,2
5/16/2017,TASK,1
5/16/2017,NOTE,1
5/17/2017,TASK,2
5/17/2017,NOTE,13
5/22/2017,NOTE,8
5/23/2017,TASK,11
5/24/2017,TASK,17
6/4/2017,CALL,1
6/5/2017,TASK,25
6/6/2017,NOTE,1
6/14/2017,PUBLISHING_TASK,1
6/14/2017,NOTE,1
6/16/2017,NOTE,1
6/16/2017,CALL,1
6/20/2017,CALL,5
6/23/2017,TASK,1
6/23/2017,PUBLISHING_TASK,1
6/26/2017,EMAIL,2
6/27/2017,EMAIL,2
6/28/2017,EMAIL,8
6/30/2017,NOTE,2
7/3/2017,EMAIL,1
7/4/2017,EMAIL,8
7/5/2017,PUBLISHING_TASK,2
7/6/2017,NOTE,1
7/6/2017,CALL,1
7/6/2017,TASK,5
7/7/2017,TASK,2
7/8/2017,PUBLISHING_TASK,1
7/9/2017,TASK,1
7/11/2017,NOTE,1
7/13/2017,PUBLISHING_TASK,4
7/17/2017,NOTE,1
7/20/2017,NOTE,2
7/25/2017,PUBLISHING_TASK,5
7/26/2017,CALL,1
7/26/2017,NOTE,1
7/26/2017,TASK,1
8/1/2017,TASK,12
8/4/2017,PUBLISHING_TASK,1
8/6/2017,NOTE,2
8/9/2017,NOTE,1
8/11/2017,CALL,2
8/25/2017,PUBLISHING_TASK,66
8/30/2017,NOTE,2
8/31/2017,NOTE,20
9/1/2017,NOTE,6
9/2/2017,NOTE,30
9/3/2017,NOTE,8
9/3/2017,PUBLISHING_TASK,1
9/4/2017,NOTE,15
9/5/2017,NOTE,3
9/6/2017,NOTE,13
9/7/2017,NOTE,58
9/9/2017,NOTE,4
9/11/2017,NOTE,1
9/18/2017,NOTE,2
9/19/2017,NOTE,2
9/23/2017,NOTE,1
9/24/2017,NOTE,1
9/25/2017,NOTE,5
9/26/2017,NOTE,15
9/27/2017,NOTE,74
9/28/2017,NOTE,2
9/29/2017,NOTE,1
9/30/2017,NOTE,3
10/1/2017,NOTE,10
10/2/2017,NOTE,1
10/3/2017,TASK,1
10/6/2017,TASK,1
10/6/2017,CALL,1
10/6/2017,NOTE,1
10/10/2017,NOTE,35
10/11/2017,TASK,3
10/11/2017,CALL,1
10/16/2017,NOTE,1
10/16/2017,PUBLISHING_TASK,4
10/26/2017,NOTE,1
10/26/2017,CALL,2
10/30/2017,TASK,6
11/2/2017,NOTE,2
11/5/2017,CALL,1
11/6/2017,NOTE,1
11/6/2017,MEETING,1
11/12/2017,CALL,1
11/15/2017,NOTE,1
11/15/2017,CALL,1
11/20/2017,MEETING,1
11/25/2017,NOTE,2
11/25/2017,CALL,1
11/26/2017,TASK,1
11/26/2017,NOTE,4
11/29/2017,NOTE,2
12/1/2017,PUBLISHING_TASK,1
12/3/2017,MEETING,1
12/3/2017,CALL,26
12/3/2017,TASK,1
12/3/2017,NOTE,3
12/6/2017,MEETING,1
12/7/2017,TASK,3
12/18/2017,CALL,1
12/19/2017,NOTE,1
12/20/2017,CALL,1
12/21/2017,CALL,12
12/21/2017,PUBLISHING_TASK,1
12/22/2017,CALL,2
12/26/2017,NOTE,1
12/26/2017,CALL,5
12/27/2017,CALL,2
12/28/2017,NOTE,2
12/28/2017,EMAIL,2
12/29/2017,CALL,6
1/2/2018,CALL,28
1/2/2018,TASK,4
1/3/2018,CALL,67
1/3/2018,TASK,45
1/4/2018,CALL,43
1/4/2018,TASK,17
1/5/2018,TASK,2
1/5/2018,CALL,88
1/5/2018,NOTE,1
1/6/2018,CALL,9
1/8/2018,CALL,61
1/9/2018,CALL,60
1/9/2018,TASK,1
1/9/2018,NOTE,1
1/10/2018,TASK,2
1/10/2018,CALL,15
1/10/2018,NOTE,11
1/11/2018,CALL,8
1/11/2018,NOTE,32
1/12/2018,CALL,24
1/13/2018,CALL,5
1/13/2018,TASK,1
1/14/2018,TASK,2
1/15/2018,CALL,22
1/16/2018,CALL,22
1/17/2018,CALL,55
1/17/2018,TASK,1
1/18/2018,CALL,35
1/19/2018,NOTE,7
1/19/2018,CALL,15
1/20/2018,CALL,5
1/21/2018,CALL,1
1/22/2018,EMAIL,2
1/22/2018,CALL,39
1/23/2018,CALL,40
1/24/2018,CALL,18
1/25/2018,CALL,9
1/25/2018,NOTE,2
1/26/2018,TASK,1
1/26/2018,CALL,6
1/26/2018,NOTE,1
1/26/2018,EMAIL,2
1/29/2018,CALL,30
1/30/2018,NOTE,1
1/30/2018,CALL,14
1/31/2018,CALL,18
1/31/2018,NOTE,1
2/1/2018,CALL,18
2/1/2018,NOTE,1
2/2/2018,CALL,23
2/2/2018,NOTE,4
2/3/2018,NOTE,1
2/4/2018,EMAIL,1
2/5/2018,CALL,27
2/5/2018,NOTE,8
2/6/2018,NOTE,14
2/6/2018,CALL,27
2/7/2018,CALL,38
2/8/2018,CALL,19
2/8/2018,NOTE,5
2/9/2018,NOTE,11
2/9/2018,CALL,20
2/9/2018,TASK,6
2/9/2018,PUBLISHING_TASK,4
2/11/2018,CALL,3
2/11/2018,TASK,1
2/12/2018,CALL,18
2/12/2018,TASK,9
2/13/2018,CALL,14
